"","mu","Ne","Log.likelihood"
"604",5e-06,45,-3820.02841147035
"605",5.5e-06,45,-3844.52770193885
"606",6e-06,45,-3872.75542271677
"607",6.5e-06,45,-3904.11434404151
"608",7e-06,45,-3938.14022981736
"609",7.5e-06,45,-3974.4650641739
"610",8e-06,45,-4012.79217039712
"611",8.5e-06,45,-4052.87888615414
"612",9e-06,45,-4094.52419820978
"613",1e-06,46,-4005.30056638408
"614",1.5e-06,46,-3890.60581042611
"615",2e-06,46,-3828.79791960485
"616",2.5e-06,46,-3795.97010708188
"617",3e-06,46,-3781.47365258748
"618",3.5e-06,46,-3779.62820452095
"619",4e-06,46,-3787.04309925907
"620",4.5e-06,46,-3801.53128930778
"621",5e-06,46,-3821.59947404861
"622",5.5e-06,46,-3846.18254298172
"623",6e-06,46,-3874.49405795383
"624",6.5e-06,46,-3905.93678920483
"625",7e-06,46,-3940.04650064164
"626",7.5e-06,46,-3976.45517639646
"627",8e-06,46,-4014.86613975789
"628",8.5e-06,46,-4055.03672839546
"629",9e-06,46,-4096.76592907665
"630",1e-06,47,-4006.38504936574
"631",1.5e-06,47,-3891.75936426554
"632",2e-06,47,-3830.02055903808
"633",2.5e-06,47,-3797.26184684827
"634",3e-06,47,-3782.83450742808
"635",3.5e-06,47,-3781.05818917968
"636",4e-06,47,-3788.54222848238
"637",4.5e-06,47,-3803.0995778442
"638",5e-06,47,-3823.23693664963
"639",5.5e-06,47,-3847.8891944008
"640",6e-06,47,-3876.26991294715
"641",6.5e-06,47,-3907.78186253119
"642",7e-06,47,-3941.96080706201
"643",7.5e-06,47,-3978.43873067432
"644",8e-06,47,-4016.9189566595
"645",8.5e-06,47,-4057.15882268917
"646",9e-06,47,-4098.95731553341
"647",1e-06,48,-4007.64517307586
"648",1.5e-06,48,-3893.07472508531
"649",2e-06,48,-3831.39117076725
"650",2.5e-06,48,-3798.68772328873
"651",3e-06,48,-3784.31566238394
"652",3.5e-06,48,-3782.5946364579
"653",4e-06,48,-3790.13398189184
"654",4.5e-06,48,-3804.74665119636
"655",5e-06,48,-3824.93934375824
"656",5.5e-06,48,-3849.6469490822
"657",6e-06,48,-3878.08302901979
"658",6.5e-06,48,-3909.65035381586
"659",7e-06,48,-3943.88468738205
"660",7.5e-06,48,-3980.41801385542
"661",8e-06,48,-4018.95365652945
"662",8.5e-06,48,-4059.24895307846
"663",9e-06,48,-4101.10289027489
"664",1e-06,49,-4009.0739612295
"665",1.5e-06,49,-3894.5456208287
"666",2e-06,49,-3832.90418699761
"667",2.5e-06,49,-3800.24287290541
"668",3e-06,49,-3785.91295828905
"669",3.5e-06,49,-3784.23409155484
"670",4e-06,49,-3791.81560908705
"671",4.5e-06,49,-3806.47046339844
"672",5e-06,49,-3826.70535387773
"673",5.5e-06,49,-3851.45517003211
"674",6e-06,49,-3879.93347371538
"675",6.5e-06,49,-3911.54303517477
"676",7e-06,49,-3945.81961832405
"677",7.5e-06,49,-3982.39520730264
"678",8e-06,49,-4020.9731254062
"679",8.5e-06,49,-4061.3107103114
"680",9e-06,49,-4103.20694879286
"681",1e-06,50,-4010.66486432435
"682",1.5e-06,50,-3896.16616549591
"683",2e-06,50,-3834.55438526524
"684",2.5e-06,50,-3801.92273680307
"685",3e-06,50,-3787.62249984883
"686",3.5e-06,50,-3785.97332281092
"687",4e-06,50,-3793.58454207593
"688",4.5e-06,50,-3808.2691101587
"689",5e-06,50,-3828.53372645006
"690",5.5e-06,50,-3853.31328045957
"691",6e-06,50,-3881.82133404293
"692",6.5e-06,50,-3913.46065744986
"693",7e-06,50,-3947.76701459599
"694",7.5e-06,50,-3984.372389623
"695",8e-06,50,-4022.9801058287
"696",8.5e-06,50,-4063.34750089226
